City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,Quatre Cocos,MU,2020-04-01 23:55:26,-20.21,57.76,77.0,94,75,2.24
27,Carnot,CF,2020-04-01 23:55:26,4.94,15.87,72.3,75,100,2.44
28,Rondonopolis,BR,2020-04-01 23:50:27,-16.47,-54.64,76.73,80,39,1.81
29,Desaguadero,PE,2020-04-01 23:55:26,-16.57,-69.04,50.4,24,94,7.58
30,Sinnamary,GF,2020-04-01 23:55:26,5.38,-52.95,78.58,84,58,12.26
31,Salalah,OM,2020-04-01 23:55:26,17.02,54.09,80.6,83,75,3.36
32,Atbasar,KZ,2020-04-01 23:55:26,51.8,68.33,37.27,89,100,15.46
33,Coquimbo,CL,2020-04-01 23:55:26,-29.95,-71.34,60.8,82,12,9.17
34,Mahon,ES,2020-04-01 23:55:27,39.89,4.27,57.2,93,95,4.7
35,Kasongo,CD,2020-04-01 23:55:27,-4.45,26.67,69.58,80,97,1.86
36,Arlit,NE,2020-04-01 23:55:27,18.74,7.39,83.93,11,0,8.14
37,Strangnas,SE,2020-04-01 23:55:27,59.38,17.03,43.0,82,57,11.41
38,Marsa Matruh,EG,2020-04-01 23:55:27,31.35,27.25,55.4,76,86,3.71
39,Puerto Carreno,CO,2020-04-01 23:51:01,6.19,-67.49,87.8,55,40,4.7
40,Talnakh,RU,2020-04-01 23:55:27,69.49,88.4,8.6,84,90,8.95
41,Phuntsholing,BT,2020-04-01 23:55:27,26.85,89.39,66.76,25,4,6.58
42,Torbay,CA,2020-04-01 23:55:27,47.67,-52.73,37.0,92,90,8.05
43,Cabedelo,BR,2020-04-01 23:55:27,-6.98,-34.83,78.8,94,26,4.7
44,Marfino,RU,2020-04-01 23:55:28,55.7,37.38,37.0,74,90,15.66
45,Codrington,AU,2020-04-01 23:55:28,-38.27,141.97,59.49,88,100,6.53
46,Jurm,AF,2020-04-01 23:55:28,36.86,70.83,37.26,35,89,5.44
47,Huarmey,PE,2020-04-01 23:55:28,-10.07,-78.15,75.52,74,89,5.95
48,Xuddur,SO,2020-04-01 23:55:28,4.12,43.89,77.83,65,23,12.91
49,Semirom,IR,2020-04-01 23:55:28,31.42,51.57,37.69,42,100,9.31
50,Ribeira Grande,PT,2020-04-01 23:55:28,38.52,-28.7,60.31,84,99,27.83
51,Kovdor,RU,2020-04-01 23:55:29,67.57,30.48,10.87,94,92,5.32
52,Ciudad Bolivar,VE,2020-04-01 23:55:16,8.12,-63.55,87.96,46,62,11.43
53,Mar Del Plata,AR,2020-04-01 23:52:12,-38.0,-57.56,68.0,88,90,6.93
54,Vila Velha,BR,2020-04-01 23:55:29,-20.33,-40.29,77.0,94,90,4.7
55,Iaciara,BR,2020-04-01 23:55:29,-14.1,-46.63,74.35,70,48,3.42
56,Thompson,CA,2020-04-01 23:55:29,55.74,-97.86,26.6,63,75,9.17
57,Chuy,UY,2020-04-01 23:55:29,-33.7,-53.46,69.8,89,98,14.72
58,Fereydunshahr,IR,2020-04-01 23:55:29,32.94,50.12,34.29,41,32,6.55
59,Kruisfontein,ZA,2020-04-01 23:55:29,-34.0,24.73,58.46,74,16,9.64
